DateT,CountofBullishBars
20230214T,93
20230215T,127
20230216T,104
20230217T,63
20230220T,91
20230221T,68
20230222T,64
20230223T,125
20230224T,66
20230227T,110
20230228T,146
20230301T,178
20230302T,71
20230303T,86
20230306T,100
20230308T,157
20230309T,42
20230310T,101
20230313T,28
20230314T,92
20230315T,64
20230316T,187
20230317T,106
20230320T,120
20230321T,114
20230322T,70
20230323T,74
20230324T,41
20230327T,67
20230328T,98
20230329T,261
20230331T,152
20230403T,153
20230405T,129
20230406T,128
20230410T,93
20230411T,92
20230412T,97
20230413T,87
20230417T,162
20230418T,88
20230419T,57
20230420T,66
20230421T,70
20230424T,97
20230425T,79
20230426T,97
20230427T,86
20230428T,139
20230502T,98
20230503T,90
20230504T,117
20230505T,65
20230508T,112
20230509T,60
20230510T,113
20230511T,79
20230512T,76
20230515T,143
20230516T,55
20230517T,93
20230518T,44
20230519T,115
20230522T,132
20230523T,78
20230524T,80
20230525T,108
20230526T,101
20230529T,84
20230530T,85
20230531T,157
20230601T,89
20230602T,59
20230605T,66
20230606T,101
20230607T,120
20230608T,44
20230609T,61
20230612T,109
20230613T,108
20230614T,83
20230615T,77
20230616T,102
20230619T,70
20230620T,111
20230621T,80
20230622T,49
20230623T,69
20230626T,167
20230627T,80
20230628T,72
20230630T,101
20230703T,87
20230704T,70
20230705T,108
20230706T,116
20230707T,70
20230710T,72
20230711T,112
20230712T,85
20230713T,47
20230714T,140
20230717T,93
20230718T,60
20230719T,84
20230720T,81
20230721T,97
20230724T,86
20230725T,98
20230726T,88
20230727T,86
20230728T,137
20230731T,157
20230801T,88
20230802T,97
20230803T,135
20230804T,101
20230807T,117
20230808T,105
20230809T,129
20230810T,72
20230811T,64
20230814T,176
20230816T,131
20230817T,92
20230818T,81
20230821T,117
20230822T,95
20230823T,91
20230824T,46
20230825T,82
20230828T,84
20230829T,84
20230830T,71
20230831T,134
20230901T,150
20230904T,134
20230905T,105
20230906T,86
20230907T,96
20230908T,100
20230911T,110
20230912T,101
20230913T,269
20230914T,98
20230915T,102
20230918T,68
20230920T,81
20230921T,35
20230922T,102
20230925T,108
20230926T,68
20230927T,106
20230928T,48
20230929T,112
20231003T,125
20231004T,59
20231005T,63
20231006T,82
20231009T,64
Grand TotalT,15527
